method,args,client_zone,server_zone,value,status,wait_ms,exec_ms,turn_ms,total_ms,start_ms,end_ms
getPopulationofCountry,Japan,4,4,100848918,OK,0,89,171,226,1758221314482,1758221314709
getPopulationofCountry,Guyana,1,1,369776,OK,0,83,164,217,1758221314710,1758221314927
getPopulationofCountry,Swaziland,5,5,276340,OK,0,81,163,219,1758221314927,1758221315147
getPopulationofCountry,Swaziland,5,5,276340,OK,0,80,162,214,1758221315147,1758221315362
getPopulationofCountry,Swaziland,5,5,276340,OK,0,80,162,218,1758221315363,1758221315581
getPopulationofCountry,Swaziland,5,5,276340,OK,0,80,162,216,1758221315581,1758221315798
getPopulationofCountry,Cambodia,5,5,3639169,OK,0,80,162,218,1758221315799,1758221316017
getPopulationofCountry,Cameroon,4,4,8684197,OK,0,81,162,217,1758221316018,1758221316235
getPopulationofCountry,Switzerland,1,1,7375148,OK,0,89,170,224,1758221316235,1758221316459
getPopulationofCountry,Tajikistan,5,5,1907246,OK,0,90,171,223,1758221316459,1758221316683
getPopulationofCountry,Tajikistan,5,5,1907246,OK,0,80,162,217,1758221316684,1758221316902
getPopulationofCountry,"United States",1,1,266998322,OK,0,80,162,216,1758221316902,1758221317119
getPopulationofCountry,Belgium,3,3,15411242,OK,0,89,170,228,1758221317120,1758221317349
getPopulationofCountry,Belgium,3,3,15411242,OK,0,80,162,214,1758221317349,1758221317563
getPopulationofCountry,Belgium,3,3,15411242,OK,0,80,161,215,1758221317564,1758221317780
getPopulationofCountry,Tonga,3,3,49007,OK,0,83,164,218,1758221317780,1758221317999
getPopulationofCountry,Ireland,1,1,3907506,OK,0,91,173,228,1758221318000,1758221318229
